Ensembl	sample_pair	ensembl_id	Gene_name	log2FC	p_value	description	DEG	Gene_type	
ENSG00000003987	D5/D6	D5/D6_ENSG00000003987	MTMR7	0.086036588	0.5360075	myotubularin related protein 7	NonDE	protein_coding	
ENSG00000004059	D5/D6	D5/D6_ENSG00000004059	ARF5	0.168332632	0.024922886	ADP ribosylation factor 5	NonDE	protein_coding	
ENSG00000004142	D5/D6	D5/D6_ENSG00000004142	POLDIP2	0.24425258	0.001046034	DNA polymerase delta interacting protein 2	NonDE	protein_coding	
ENSG00000004399	D5/D6	D5/D6_ENSG00000004399	PLXND1	1.115645536	5.33E-05	plexin D1	Upregulate	protein_coding	
ENSG00000004455	D5/D6	D5/D6_ENSG00000004455	AK2	0.465274983	9.30E-06	adenylate kinase 2	NonDE	protein_coding	
ENSG00000004468	D5/D6	D5/D6_ENSG00000004468	CD38	-0.391134377	2.05E-05	CD38 molecule	NonDE	protein_coding	
ENSG00000004478	D5/D6	D5/D6_ENSG00000004478	FKBP4	0.095066122	0.071699897	FKBP prolyl isomerase 4	NonDE	protein_coding	
ENSG00000004487	D5/D6	D5/D6_ENSG00000004487	KDM1A	0.664562892	8.80E-06	lysine demethylase 1A	NonDE	protein_coding	
ENSG00000004534	D5/D6	D5/D6_ENSG00000004534	RBM6	-0.234302736	0.02170925	RNA binding motif protein 6	NonDE	protein_coding	
ENSG00000004660	D5/D6	D5/D6_ENSG00000004660	CAMKK1	0.728515901	0.000246783	calcium/calmodulin dependent protein kinase kinase 1	NonDE	protein_coding	
ENSG00000004777	D5/D6	D5/D6_ENSG00000004777	ARHGAP33	-0.281702168	0.042633854	Rho GTPase activating protein 33	NonDE	protein_coding	
ENSG00000004864	D5/D6	D5/D6_ENSG00000004864	SLC25A13	0.121990773	0.113161018	solute carrier family 25 member 13	NonDE	protein_coding	
ENSG00000004866	D5/D6	D5/D6_ENSG00000004866	ST7	0.838965122	7.44E-07	suppression of tumorigenicity 7	NonDE	protein_coding	
ENSG00000004975	D5/D6	D5/D6_ENSG00000004975	DVL2	0.188172936	0.009410443	dishevelled segment polarity protein 2	NonDE	protein_coding	
ENSG00000005007	D5/D6	D5/D6_ENSG00000005007	UPF1	-0.16085475	0.016822822	UPF1 RNA helicase and ATPase	NonDE	protein_coding	
ENSG00000005022	D5/D6	D5/D6_ENSG00000005022	SLC25A5	0.444197595	0.000437157	solute carrier family 25 member 5	NonDE	protein_coding	
ENSG00000005075	D5/D6	D5/D6_ENSG00000005075	POLR2J	-0.148078948	0.078986874	RNA polymerase II subunit J	NonDE	protein_coding	
ENSG00000005100	D5/D6	D5/D6_ENSG00000005100	DHX33	0.592032628	1.59E-05	DEAH-box helicase 33	NonDE	protein_coding	
ENSG00000005156	D5/D6	D5/D6_ENSG00000005156	LIG3	0.222421715	0.00771733	DNA ligase 3	NonDE	protein_coding	
ENSG00000005175	D5/D6	D5/D6_ENSG00000005175	RPAP3	0.274444607	0.004751637	RNA polymerase II associated protein 3	NonDE	protein_coding	
ENSG00000005187	D5/D6	D5/D6_ENSG00000005187	ACSM3	-0.398411188	0.001680079	acyl-CoA synthetase medium chain family member 3	NonDE	protein_coding	
ENSG00000005189	D5/D6	D5/D6_ENSG00000005189	REXO5	-0.697238459	0.001384219	RNA exonuclease 5	NonDE	protein_coding	
ENSG00000005238	D5/D6	D5/D6_ENSG00000005238	FAM214B	-0.531871405	0.018557997	family with sequence similarity 214 member B	NonDE	protein_coding	
ENSG00000005243	D5/D6	D5/D6_ENSG00000005243	COPZ2	-0.439844955	0.00853412	COPI coat complex subunit zeta 2	NonDE	protein_coding	
ENSG00000005302	D5/D6	D5/D6_ENSG00000005302	MSL3	-0.494977327	3.30E-06	MSL complex subunit 3	NonDE	protein_coding	
ENSG00000005436	D5/D6	D5/D6_ENSG00000005436	GCFC2	0.297036793	0.010921887	GC-rich sequence DNA-binding factor 2	NonDE	protein_coding	
ENSG00000005448	D5/D6	D5/D6_ENSG00000005448	WDR54	-0.215294745	0.084733105	WD repeat domain 54	NonDE	protein_coding	
ENSG00000005469	D5/D6	D5/D6_ENSG00000005469	CROT	-0.295309504	0.00954143	carnitine O-octanoyltransferase	NonDE	protein_coding	
ENSG00000005471	D5/D6	D5/D6_ENSG00000005471	ABCB4	0.227593246	0.004274223	ATP binding cassette subfamily B member 4	NonDE	protein_coding	
ENSG00000005483	D5/D6	D5/D6_ENSG00000005483	KMT2E	-0.228821026	0.005236302	lysine methyltransferase 2E (inactive)	NonDE	protein_coding	
ENSG00000005486	D5/D6	D5/D6_ENSG00000005486	RHBDD2	-0.501838091	0.006714881	rhomboid domain containing 2	NonDE	protein_coding	
ENSG00000005513	D5/D6	D5/D6_ENSG00000005513	SOX8	0.583264353	0.028381317	SRY-box transcription factor 8	Upregulate	protein_coding	
ENSG00000005700	D5/D6	D5/D6_ENSG00000005700	IBTK	-0.098749219	0.278975184	inhibitor of Bruton tyrosine kinase	NonDE	protein_coding	
ENSG00000005801	D5/D6	D5/D6_ENSG00000005801	ZNF195	0.174582294	0.058478105	zinc finger protein 195	NonDE	protein_coding	
ENSG00000005810	D5/D6	D5/D6_ENSG00000005810	MYCBP2	0.184439599	6.39E-05	MYC binding protein 2	NonDE	protein_coding	
ENSG00000005812	D5/D6	D5/D6_ENSG00000005812	FBXL3	-0.100459351	0.150848736	F-box and leucine rich repeat protein 3	NonDE	protein_coding	
ENSG00000005844	D5/D6	D5/D6_ENSG00000005844	ITGAL	-1.051734487	4.62E-05	integrin subunit alpha L	Downregulate	protein_coding	
ENSG00000005884	D5/D6	D5/D6_ENSG00000005884	ITGA3	0.763253841	0.000127344	integrin subunit alpha 3	NonDE	protein_coding	
ENSG00000005889	D5/D6	D5/D6_ENSG00000005889	ZFX	-0.11504019	0.060574983	zinc finger protein X-linked	NonDE	protein_coding	
ENSG00000006007	D5/D6	D5/D6_ENSG00000006007	GDE1	-0.252150917	0.007729805	glycerophosphodiester phosphodiesterase 1	NonDE	protein_coding	
ENSG00000006015	D5/D6	D5/D6_ENSG00000006015	REX1BD	0.240239873	0.015436947	required for excision 1-B domain containing	NonDE	protein_coding	
ENSG00000006118	D5/D6	D5/D6_ENSG00000006118	TMEM132A	0.026851387	0.243833966	transmembrane protein 132A	NonDE	protein_coding	
ENSG00000006125	D5/D6	D5/D6_ENSG00000006125	AP2B1	0.207342726	0.001283565	adaptor related protein complex 2 subunit beta 1	NonDE	protein_coding	
ENSG00000006210	D5/D6	D5/D6_ENSG00000006210	CX3CL1	-2.054764595	0.00162421	C-X3-C motif chemokine ligand 1	Downregulate	protein_coding	
ENSG00000006282	D5/D6	D5/D6_ENSG00000006282	SPATA20	0.242204126	0.002780518	spermatogenesis associated 20	NonDE	protein_coding	
ENSG00000006453	D5/D6	D5/D6_ENSG00000006453	BAIAP2L1	0.670919019	1.47E-05	BAR/IMD domain containing adaptor protein 2 like 1	NonDE	protein_coding	
ENSG00000006459	D5/D6	D5/D6_ENSG00000006459	KDM7A	0.886347866	7.37E-06	lysine demethylase 7A	NonDE	protein_coding	
ENSG00000006530	D5/D6	D5/D6_ENSG00000006530	AGK	0.142615174	0.148369599	acylglycerol kinase	NonDE	protein_coding	
ENSG00000006555	D5/D6	D5/D6_ENSG00000006555	TTC22	0.300115819	0.007901156	tetratricopeptide repeat domain 22	NonDE	protein_coding	
ENSG00000006576	D5/D6	D5/D6_ENSG00000006576	PHTF2	-0.308561281	0.001153072	putative homeodomain transcription factor 2	NonDE	protein_coding	
ENSG00000006625	D5/D6	D5/D6_ENSG00000006625	GGCT	0.113722564	0.134962368	gamma-glutamylcyclotransferase	NonDE	protein_coding	
ENSG00000006652	D5/D6	D5/D6_ENSG00000006652	IFRD1	0.152281352	0.110367027	interferon related developmental regulator 1	NonDE	protein_coding	
ENSG00000006659	D5/D6	D5/D6_ENSG00000006659	LGALS14	-0.291857244	0.092757789	galectin 14	NonDE	protein_coding	
ENSG00000006695	D5/D6	D5/D6_ENSG00000006695	COX10	0.178842551	0.096613115	cytochrome c oxidase assembly factor heme A:farnesyltransferase COX10	NonDE	protein_coding	
ENSG00000006704	D5/D6	D5/D6_ENSG00000006704	GTF2IRD1	0.963916832	3.10E-06	GTF2I repeat domain containing 1	Upregulate	protein_coding	
ENSG00000006744	D5/D6	D5/D6_ENSG00000006744	ELAC2	0.221357286	0.002178956	elaC ribonuclease Z 2	NonDE	protein_coding	
ENSG00000006756	D5/D6	D5/D6_ENSG00000006756	ARSD	0.448303322	0.000344589	arylsulfatase D	NonDE	protein_coding	
ENSG00000006757	D5/D6	D5/D6_ENSG00000006757	PNPLA4	0.382674765	0.001898283	patatin like phospholipase domain containing 4	NonDE	protein_coding	
ENSG00000007038	D5/D6	D5/D6_ENSG00000007038	PRSS21	-2.519642606	2.50E-05	serine protease 21	Downregulate	protein_coding	
ENSG00000007168	D5/D6	D5/D6_ENSG00000007168	PAFAH1B1	0.084971272	0.112215003	platelet activating factor acetylhydrolase 1b regulatory subunit 1	NonDE	protein_coding	
ENSG00000007202	D5/D6	D5/D6_ENSG00000007202	KIAA0100	0.233928759	0.000114072	KIAA0100	NonDE	protein_coding	
ENSG00000007237	D5/D6	D5/D6_ENSG00000007237	GAS7	-0.969473163	1.17E-06	growth arrest specific 7	Downregulate	protein_coding	
ENSG00000007264	D5/D6	D5/D6_ENSG00000007264	MATK	1.807993079	0.006451436	megakaryocyte-associated tyrosine kinase	Upregulate	protein_coding	
ENSG00000007312	D5/D6	D5/D6_ENSG00000007312	CD79B	-0.361717854	0.000180641	CD79b molecule	NonDE	protein_coding	
ENSG00000007314	D5/D6	D5/D6_ENSG00000007314	SCN4A	-0.555289472	0.006526505	sodium voltage-gated channel alpha subunit 4	NonDE	protein_coding	
ENSG00000007341	D5/D6	D5/D6_ENSG00000007341	ST7L	0.27161816	0.027527875	suppression of tumorigenicity 7 like	NonDE	protein_coding	
ENSG00000007372	D5/D6	D5/D6_ENSG00000007372	PAX6	-0.888845836	0.014550463	paired box 6	NonDE	protein_coding	
ENSG00000007376	D5/D6	D5/D6_ENSG00000007376	RPUSD1	0.216745861	0.493275052	RNA pseudouridine synthase domain containing 1	NonDE	protein_coding	
ENSG00000007516	D5/D6	D5/D6_ENSG00000007516	BAIAP3	-0.413517472	0.176980666	BAI1 associated protein 3	NonDE	protein_coding	
ENSG00000007545	D5/D6	D5/D6_ENSG00000007545	CRAMP1	0.233029751	0.074088292	cramped chromatin regulator homolog 1	NonDE	protein_coding	
ENSG00000007866	D5/D6	D5/D6_ENSG00000007866	TEAD3	0.041121778	0.043280828	TEA domain transcription factor 3	NonDE	protein_coding	
ENSG00000007923	D5/D6	D5/D6_ENSG00000007923	DNAJC11	0.343556437	0.001510006	DnaJ heat shock protein family (Hsp40) member C11	NonDE	protein_coding	
ENSG00000007944	D5/D6	D5/D6_ENSG00000007944	MYLIP	-0.212029607	0.001561916	myosin regulatory light chain interacting protein	NonDE	protein_coding	
ENSG00000007968	D5/D6	D5/D6_ENSG00000007968	E2F2	-0.691392335	0.001000686	E2F transcription factor 2	NonDE	protein_coding	
ENSG00000008056	D5/D6	D5/D6_ENSG00000008056	SYN1	-1.196451749	0.001521559	synapsin I	Downregulate	protein_coding	
ENSG00000008086	D5/D6	D5/D6_ENSG00000008086	CDKL5	0.233682764	0.178402874	cyclin dependent kinase like 5	NonDE	protein_coding	
ENSG00000008226	D5/D6	D5/D6_ENSG00000008226	DLEC1	-0.426297805	0.255570917	DLEC1 cilia and flagella associated protein	NonDE	protein_coding	
ENSG00000008256	D5/D6	D5/D6_ENSG00000008256	CYTH3	1.406791129	8.62E-09	cytohesin 3	Upregulate	protein_coding	
ENSG00000008277	D5/D6	D5/D6_ENSG00000008277	ADAM22	0.308898664	0.044418046	ADAM metallopeptidase domain 22	NonDE	protein_coding	
ENSG00000008283	D5/D6	D5/D6_ENSG00000008283	CYB561	-1.011558169	0.000621394	cytochrome b561	Downregulate	protein_coding	
ENSG00000008294	D5/D6	D5/D6_ENSG00000008294	SPAG9	0.59156458	9.08E-07	sperm associated antigen 9	NonDE	protein_coding	
ENSG00000008300	D5/D6	D5/D6_ENSG00000008300	CELSR3	-1.776825861	1.52E-06	cadherin EGF LAG seven-pass G-type receptor 3	Downregulate	protein_coding	
ENSG00000008311	D5/D6	D5/D6_ENSG00000008311	AASS	0.419321281	0.029341107	aminoadipate-semialdehyde synthase	NonDE	protein_coding	
ENSG00000008382	D5/D6	D5/D6_ENSG00000008382	MPND	-0.493569656	0.001357261	MPN domain containing	NonDE	protein_coding	
ENSG00000008394	D5/D6	D5/D6_ENSG00000008394	MGST1	-1.793755714	5.01E-06	microsomal glutathione S-transferase 1	Downregulate	protein_coding	
ENSG00000008405	D5/D6	D5/D6_ENSG00000008405	CRY1	2.331773375	1.44E-08	cryptochrome circadian regulator 1	Upregulate	protein_coding	
ENSG00000008441	D5/D6	D5/D6_ENSG00000008441	NFIX	1.016543485	0.019006794	nuclear factor I X	Upregulate	protein_coding	
ENSG00000008513	D5/D6	D5/D6_ENSG00000008513	ST3GAL1	-0.326276496	0.002964084	ST3 beta-galactoside alpha-2,3-sialyltransferase 1	NonDE	protein_coding	
ENSG00000008517	D5/D6	D5/D6_ENSG00000008517	IL32	-1.361610451	3.11E-06	interleukin 32	Downregulate	protein_coding	
ENSG00000008710	D5/D6	D5/D6_ENSG00000008710	PKD1	0.213463445	0.135455012	polycystin 1, transient receptor potential channel interacting	NonDE	protein_coding	
ENSG00000008735	D5/D6	D5/D6_ENSG00000008735	MAPK8IP2	1.168332315	0.000185866	mitogen-activated protein kinase 8 interacting protein 2	Upregulate	protein_coding	
ENSG00000008838	D5/D6	D5/D6_ENSG00000008838	MED24	-0.13472653	0.069902646	mediator complex subunit 24	NonDE	protein_coding	
ENSG00000008853	D5/D6	D5/D6_ENSG00000008853	RHOBTB2	0.585430668	3.02E-05	Rho related BTB domain containing 2	NonDE	protein_coding	
ENSG00000008869	D5/D6	D5/D6_ENSG00000008869	HEATR5B	0.071333588	0.128675309	HEAT repeat containing 5B	NonDE	protein_coding	
ENSG00000008988	D5/D6	D5/D6_ENSG00000008988	RPS20	0.26747355	8.37E-05	ribosomal protein S20	NonDE	protein_coding	
ENSG00000009307	D5/D6	D5/D6_ENSG00000009307	CSDE1	-0.291253751	1.09E-05	cold shock domain containing E1	NonDE	protein_coding	
ENSG00000009335	D5/D6	D5/D6_ENSG00000009335	UBE3C	0.074928475	0.029538932	ubiquitin protein ligase E3C	NonDE	protein_coding	
ENSG00000009413	D5/D6	D5/D6_ENSG00000009413	REV3L	0.015916639	0.241592805	REV3 like, DNA directed polymerase zeta catalytic subunit	NonDE	protein_coding	
ENSG00000009954	D5/D6	D5/D6_ENSG00000009954	BAZ1B	0.126328302	0.003019287	bromodomain adjacent to zinc finger domain 1B	NonDE	protein_coding	
ENSG00000010017	D5/D6	D5/D6_ENSG00000010017	RANBP9	-0.285859971	0.001239023	RAN binding protein 9	NonDE	protein_coding	
ENSG00000010030	D5/D6	D5/D6_ENSG00000010030	ETV7	-2.351453242	2.57E-07	ETS variant transcription factor 7	Downregulate	protein_coding	
ENSG00000010165	D5/D6	D5/D6_ENSG00000010165	METTL13	0.280191405	0.008256259	methyltransferase 13, eEF1A lysine and N-terminal methyltransferase	NonDE	protein_coding	
ENSG00000010244	D5/D6	D5/D6_ENSG00000010244	ZNF207	0.06099504	0.222684978	zinc finger protein 207	NonDE	protein_coding	
ENSG00000010278	D5/D6	D5/D6_ENSG00000010278	CD9	-2.203339716	4.53E-06	CD9 molecule	Downregulate	protein_coding	
ENSG00000010295	D5/D6	D5/D6_ENSG00000010295	IFFO1	-0.306248084	0.002176182	intermediate filament family orphan 1	NonDE	protein_coding	
ENSG00000010310	D5/D6	D5/D6_ENSG00000010310	GIPR	-0.780395514	2.02E-05	gastric inhibitory polypeptide receptor	NonDE	protein_coding	
ENSG00000010322	D5/D6	D5/D6_ENSG00000010322	NISCH	-0.010576768	0.151402266	nischarin	NonDE	protein_coding	
ENSG00000010404	D5/D6	D5/D6_ENSG00000010404	IDS	-0.575622826	1.56E-06	iduronate 2-sulfatase	NonDE	protein_coding	
ENSG00000010610	D5/D6	D5/D6_ENSG00000010610	CD4	-2.498267739	0.000178499	CD4 molecule	Downregulate	protein_coding	
ENSG00000010671	D5/D6	D5/D6_ENSG00000010671	BTK	0.444887681	1.22E-05	Bruton tyrosine kinase	NonDE	protein_coding	
ENSG00000010704	D5/D6	D5/D6_ENSG00000010704	HFE	-0.770274152	0.056657805	homeostatic iron regulator	NonDE	protein_coding	
ENSG00000010803	D5/D6	D5/D6_ENSG00000010803	SCMH1	0.354476966	0.010048664	Scm polycomb group protein homolog 1	NonDE	protein_coding	
ENSG00000010810	D5/D6	D5/D6_ENSG00000010810	FYN	0.655483998	5.27E-06	FYN proto-oncogene, Src family tyrosine kinase	NonDE	protein_coding	
ENSG00000010818	D5/D6	D5/D6_ENSG00000010818	HIVEP2	0.216122591	0.00020527	HIVEP zinc finger 2	NonDE	protein_coding	
ENSG00000011007	D5/D6	D5/D6_ENSG00000011007	ELOA	-0.119820307	0.075321205	elongin A	NonDE	protein_coding	
ENSG00000011021	D5/D6	D5/D6_ENSG00000011021	CLCN6	0.100202606	0.56813933	chloride voltage-gated channel 6	NonDE	protein_coding	
ENSG00000011028	D5/D6	D5/D6_ENSG00000011028	MRC2	2.306630173	5.42E-09	mannose receptor C type 2	Upregulate	protein_coding	
ENSG00000011052	D5/D6	D5/D6_ENSG00000011052	NME1-NME2	0.533875425	0.000314245	NME1-NME2 readthrough	NonDE	protein_coding	
ENSG00000011114	D5/D6	D5/D6_ENSG00000011114	BTBD7	-0.297939074	0.001131992	BTB domain containing 7	NonDE	protein_coding	
ENSG00000011132	D5/D6	D5/D6_ENSG00000011132	APBA3	-0.225545282	0.010704576	amyloid beta precursor protein binding family A member 3	NonDE	protein_coding	
ENSG00000011198	D5/D6	D5/D6_ENSG00000011198	ABHD5	-0.37096938	0.05498701	abhydrolase domain containing 5, lysophosphatidic acid acyltransferase	NonDE	protein_coding	
ENSG00000011258	D5/D6	D5/D6_ENSG00000011258	MBTD1	0.284990817	0.001296173	mbt domain containing 1	NonDE	protein_coding	
ENSG00000011260	D5/D6	D5/D6_ENSG00000011260	UTP18	0.437608718	2.66E-05	UTP18 small subunit processome component	NonDE	protein_coding	
ENSG00000011295	D5/D6	D5/D6_ENSG00000011295	TTC19	0.255730124	0.006803147	tetratricopeptide repeat domain 19	NonDE	protein_coding	
ENSG00000011304	D5/D6	D5/D6_ENSG00000011304	PTBP1	0.352858657	0.012076567	polypyrimidine tract binding protein 1	NonDE	protein_coding	
ENSG00000011376	D5/D6	D5/D6_ENSG00000011376	LARS2	0.180265827	0.067203865	leucyl-tRNA synthetase 2, mitochondrial	NonDE	protein_coding	
ENSG00000011405	D5/D6	D5/D6_ENSG00000011405	PIK3C2A	-0.18969452	0.011375619	phosphatidylinositol-4-phosphate 3-kinase catalytic subunit type 2 alpha	NonDE	protein_coding	
ENSG00000011422	D5/D6	D5/D6_ENSG00000011422	PLAUR	-0.745522205	0.004839243	plasminogen activator, urokinase receptor	NonDE	protein_coding	
ENSG00000011426	D5/D6	D5/D6_ENSG00000011426	ANLN	-0.74815018	0.000295611	anillin actin binding protein	NonDE	protein_coding	
ENSG00000011454	D5/D6	D5/D6_ENSG00000011454	RABGAP1	0.096155409	0.065677789	RAB GTPase activating protein 1	NonDE	protein_coding	
ENSG00000011478	D5/D6	D5/D6_ENSG00000011478	QPCTL	0.164234673	0.192719709	glutaminyl-peptide cyclotransferase like	NonDE	protein_coding	
ENSG00000011485	D5/D6	D5/D6_ENSG00000011485	PPP5C	0.098451003	0.034409626	protein phosphatase 5 catalytic subunit	NonDE	protein_coding	
ENSG00000011523	D5/D6	D5/D6_ENSG00000011523	CEP68	0.45415743	0.000415297	centrosomal protein 68	NonDE	protein_coding	
ENSG00000011566	D5/D6	D5/D6_ENSG00000011566	MAP4K3	0.138791689	0.090915088	mitogen-activated protein kinase kinase kinase kinase 3	NonDE	protein_coding	
ENSG00000011590	D5/D6	D5/D6_ENSG00000011590	ZBTB32	-0.241907111	0.15966526	zinc finger and BTB domain containing 32	NonDE	protein_coding	
ENSG00000011638	D5/D6	D5/D6_ENSG00000011638	LDAF1	-0.392183024	0.007968816	lipid droplet assembly factor 1	NonDE	protein_coding	
ENSG00000012048	D5/D6	D5/D6_ENSG00000012048	BRCA1	0.371699154	0.051279142	BRCA1 DNA repair associated	NonDE	protein_coding	
ENSG00000012061	D5/D6	D5/D6_ENSG00000012061	ERCC1	0.213032178	0.005754957	ERCC excision repair 1, endonuclease non-catalytic subunit	NonDE	protein_coding	
ENSG00000012124	D5/D6	D5/D6_ENSG00000012124	CD22	0.616499759	1.23E-07	CD22 molecule	NonDE	protein_coding	
ENSG00000012171	D5/D6	D5/D6_ENSG00000012171	SEMA3B	-0.68179616	0.04489776	semaphorin 3B	NonDE	protein_coding	
ENSG00000012232	D5/D6	D5/D6_ENSG00000012232	EXTL3	0.091800185	0.073293088	exostosin like glycosyltransferase 3	NonDE	protein_coding	
ENSG00000012660	D5/D6	D5/D6_ENSG00000012660	ELOVL5	-0.081705849	0.124117749	ELOVL fatty acid elongase 5	NonDE	protein_coding	
ENSG00000012779	D5/D6	D5/D6_ENSG00000012779	ALOX5	0.094246474	0.530848605	arachidonate 5-lipoxygenase	NonDE	protein_coding	
ENSG00000012822	D5/D6	D5/D6_ENSG00000012822	CALCOCO1	-0.448099503	9.19E-05	calcium binding and coiled-coil domain 1	NonDE	protein_coding	
ENSG00000012963	D5/D6	D5/D6_ENSG00000012963	UBR7	-0.191732995	0.018887853	ubiquitin protein ligase E3 component n-recognin 7	NonDE	protein_coding	
ENSG00000012983	D5/D6	D5/D6_ENSG00000012983	MAP4K5	0.180824828	0.011292174	mitogen-activated protein kinase kinase kinase kinase 5	NonDE	protein_coding	
ENSG00000013016	D5/D6	D5/D6_ENSG00000013016	EHD3	-0.940783987	0.000245161	EH domain containing 3	Downregulate	protein_coding	
ENSG00000013306	D5/D6	D5/D6_ENSG00000013306	SLC25A39	0.372596983	0.003077904	solute carrier family 25 member 39	NonDE	protein_coding	
ENSG00000013364	D5/D6	D5/D6_ENSG00000013364	MVP	-0.371181468	0.000179497	major vault protein	NonDE	protein_coding	
ENSG00000013375	D5/D6	D5/D6_ENSG00000013375	PGM3	-0.330047105	0.050609439	phosphoglucomutase 3	NonDE	protein_coding	
ENSG00000013392	D5/D6	D5/D6_ENSG00000013392	RWDD2A	-0.294766879	0.001151392	RWD domain containing 2A	NonDE	protein_coding	
ENSG00000013503	D5/D6	D5/D6_ENSG00000013503	POLR3B	0.318862599	0.000825805	RNA polymerase III subunit B	NonDE	protein_coding	
ENSG00000013523	D5/D6	D5/D6_ENSG00000013523	ANGEL1	0.342766853	0.000359802	angel homolog 1	NonDE	protein_coding	
ENSG00000013563	D5/D6	D5/D6_ENSG00000013563	DNASE1L1	-0.235613403	0.098893508	deoxyribonuclease 1 like 1	NonDE	protein_coding	
ENSG00000013573	D5/D6	D5/D6_ENSG00000013573	DDX11	0.17910696	0.118841507	DEAD/H-box helicase 11	NonDE	protein_coding	
ENSG00000013583	D5/D6	D5/D6_ENSG00000013583	HEBP1	1.106948912	0.000968783	heme binding protein 1	Upregulate	protein_coding	
ENSG00000013588	D5/D6	D5/D6_ENSG00000013588	GPRC5A	-0.422407905	0.01325584	G protein-coupled receptor class C group 5 member A	NonDE	protein_coding	
ENSG00000013810	D5/D6	D5/D6_ENSG00000013810	TACC3	-0.292130578	0.006536641	transforming acidic coiled-coil containing protein 3	NonDE	protein_coding	
