ID	Gene Name	Sample_A_1	Sample_A_2	Sample_A_3	Sample_A_4	Sample_A_Mean	Sample_B_1	Sample_B_2	Sample_B_3	Sample_B_4	Sample_B_Mean	log2FC	DEG	t-test p value	transcript	ensembl_id	entrez_id	symbol	biotype_ensembl	description	alias
15	CTPS	1.10256154	1.06405954	1.07379387	1.12381615	1.091057775	0.14390823	0.13963405	0.14414066	0.14533953	0.143255618	2.929063881	Upregulate	0.00000563	NM_001905	ENSG00000171793	1503	CTPS1	protein_coding	CTP synthase 1	CTPS,GATD5A|CTPS|GATD5A|CTPS,GATD5,GATD5A,IMD24|CTPS1|CTPS,GATD5,GATD5A,IMD24
17	ECGF1	0.01983119	0.02260484	0.02173581	0.02220036	0.02159305	0.01964999	0.02019711	0.02141668	0.02163076	0.020723635	0.059289958	NonDE	0.306117944	NM_001953	ENSG00000025708	1890	TYMP	protein_coding	thymidine phosphorylase	MNGIE,ECGF1|MNGIE, ECGF1|-|ECGF,ECGF1,MEDPS1,MNGIE,MTDPS1,PDECGF,TP,hPD-ECGF|TYMP|ECGF,ECGF1,hPD-ECGF,MEDPS1,MNGIE,MTDPS1,PDECGF,TP
18	EYA3	0.14471768	0.14403576	0.14780878	0.14229012	0.144713085	0.06763357	0.07137554	0.06814108	0.06404594	0.067799033	1.093858785	Upregulate	1.48E-08	NM_001990	ENSG00000158161	2140	EYA3	protein_coding	EYA transcriptional coactivator and phosphatase 3	DKFZp686C132|-|DKFZp686C132|-|EYA3|
19	EXOSC10	0.35958878	0.36811576	0.3712584	0.3742683	0.36830781	0.22673551	0.22015135	0.21279514	0.22564945	0.221332863	0.734694318	NonDE	5.44E-08	NM_001001998	ENSG00000171824	5394	EXOSC10	protein_coding	exosome component 10	PMSCL2,PM-SclPMSCL2,PM/Scl-100PMSCL2,Rrp6pPMSCL2,RRP6PMSCL2,p2PMSCL2,p3PMSCL2,p4|PMSCL2|PM-Scl, PM/Scl-100, Rrp6p, RRP6, p2, p3, p4|PM-Scl,PM/Scl-100,PMSCL,PMSCL2,RRP6,Rrp6p,p2,p3,p4|EXOSC10|p2,p3,p4,PM-Scl,PM/Scl-100,PMSCL,PMSCL2,RRP6,Rrp6p
20	CLCN5	0.05988845	0.06483264	0.06332949	0.0638351	0.06297142	0.02671003	0.02926226	0.03141666	0.0308623	0.029562813	1.090913672	Upregulate	0.000000547	NM_000084	ENSG00000171365	1184	CLCN5	protein_coding	chloride voltage-gated channel 5	NPHL2,DENTSNPHL1,DENTSNPHL2,XLRHNPHL1,XLRHNPHL2,hClC-K2NPHL1,hClC-K2NPHL2,hCIC-K2NPHL1,hCIC-K2NPHL2,CLC5NPHL1,CLC5NPHL2,XRNNPHL1,XRNNPHL2,ClC-5NPHL1,ClC-5|NPHL2, NPHL1|DENTS, XLRH, hClC-K2, hCIC-K2, CLC5, XRN, ClC-5|CLC5,CLCK2,ClC-5,DENT1,DENTS,NPHL1,NPHL2,XLRH,XRN,hCIC-K2|CLCN5|ClC-5,CLC5,CLCK2,DENT1,DENTS,hCIC-K2,NPHL1,NPHL2,XLRH,XRN
21	COL1A1	0.53116734	0.55068701	0.59118824	0.55787071	0.557728325	0.01010352	0.01169963	0.00968967	0.01149338	0.01074655	5.697617056	Upregulate	0.0000256	NM_000088	ENSG00000108821	1277	COL1A1	protein_coding	collagen type I alpha 1 chain	OI4|-|OI4|CAFYD,EDSARTH1,EDSC,OI1,OI2,OI3,OI4|COL1A1|CAFYD,EDSARTH1,EDSC,OI1,OI2,OI3,OI4
22	CYP1B1	0.14942418	0.1463118	0.14968676	0.13832731	0.145937513	0.11474273	0.10106245	0.1142901	0.11383323	0.110982128	0.395023404	NonDE	0.000172472	NM_000104	ENSG00000138061	1545	CYP1B1	protein_coding	cytochrome P450 family 1 subfamily B member 1	GLC3A,CP1B|GLC3A|CP1B|ASGD6,CP1B,CYPIB1,GLC3A,P4501B1|CYP1B1|ASGD6,CP1B,CYPIB1,GLC3A,P4501B1
23	CYP2D6	0.00195132	0.00127365	0.00218162	0.00272197	0.00203214	0.00090285	0.0011517	0.00081415	0.00093967	0.000952093	1.093826147	Upregulate	0.03324986	NM_000106	ENSG00000100197	1565	CYP2D6	protein_coding	cytochrome P450 family 2 subfamily D member 6	CYP2DL1,CPD6CYP2D7P2,CPD6CYP2D7BP,CPD6CYP2D8P2,CPD6CYP2D7AP,CPD6CYP2DL1,P450-DB1CYP2D7P2,P450-DB1CYP2D7BP,P450-DB1CYP2D8P2,P450-DB1CYP2D7AP,P450-DB1CYP2DL1,CYP2DCYP2D7P2,CYP2DCYP2D7BP,CYP2DCYP2D8P2,CYP2DCYP2D7AP,CYP2DCYP2DL1,P450C2DCYP2D7P2,P450C2DCYP2D7BP,P450C2DCYP2D8P2,P450C2DCYP2D7AP,P450C2D|CYP2DL1, CYP2D7P2, CYP2D7BP, CYP2D8P2, CYP2D7AP|CPD6, P450-DB1, CYP2D, P450C2D|CPD6,CYP2D,CYP2D7AP,CYP2D7BP,CYP2D7P2,CYP2D8P2,CYP2DL1,CYPIID6,P450-DB1,P450C2D,P450DB1|CYP2D6|CPD6,CYP2D,CYP2D7AP,CYP2D7BP,CYP2D7P2,CYP2D8P2,CYP2DL1,CYPIID6,P450-DB1,P450C2D,P450DB1
24	ERCC3	0.47551756	0.47575182	0.49999449	0.45910385	0.47759193	0.32182456	0.35480452	0.35957688	0.34759764	0.3459509	0.465211165	NonDE	0.0000325	NM_000122	ENSG00000163161	2071	ERCC3	protein_coding	ERCC excision repair 3, TFIIH core complex helicase subunit	XPB,BTF2,RAD25,Ssl2|-|XPB, BTF2, RAD25, Ssl2|BTF2,GTF2H,RAD25,Ssl2,TFIIH,TTD2,XPB|ERCC3|BTF2,GTF2H,RAD25,Ssl2,TFIIH,TTD2,XPB
25	ERCC5	0.43332903	0.45347894	0.4790904	0.47377308	0.459917863	0.43597107	0.42413341	0.44590463	0.44153382	0.436885733	0.074120239	NonDE	0.091053121	NM_000123	ENSG00000134899	2073	ERCC5	protein_coding	ERCC excision repair 5, endonuclease	ERCM2,XPGC|ERCM2, XPGC|-|COFS3,ERCC5-201,ERCM2,UVDR,XPG,XPGC|ERCC5|COFS3,ERCC5-201,ERCM2,UVDR,XPG,XPGC
26	FAH	0.17297854	0.17450314	0.17292459	0.16701776	0.171856008	0.02712888	0.02731545	0.02547608	0.0269498	0.026717553	2.685340525	Upregulate	0.000000928	NM_000137	ENSG00000103876	2184	FAH	protein_coding	fumarylacetoacetate hydrolase	-|-|-|-|FAH|
28	DAF	1.234896	1.32509476	1.31530151	1.27024651	1.286384695	0.10887709	0.10305162	0.12282173	0.11545196	0.1125506	3.514676494	Upregulate	0.00000616	NM_000574	ENSG00000196352	1604	CD55	protein_coding	CD55 molecule (Cromer blood group)	DAF,CRDAF,TCDAF,CROM|DAF|CR, TC, CROM|CHAPLE,CR,CROM,DAF,TC|CD55|CHAPLE,CR,CROM,DAF,TC
33	EIF2AK2	0.59298581	0.62408171	0.64462028	0.66218498	0.630968195	0.43987259	0.40459083	0.45671994	0.45953716	0.44018013	0.519473263	NonDE	0.0000657	NM_002759	ENSG00000055332	5610	EIF2AK2	protein_coding	eukaryotic translation initiation factor 2 alpha kinase 2	PRKR,PKRPRKR,PPP1R83|PRKR|PKR, PPP1R83|DYT33,EIF2AK1,LEUDEN,PKR,PPP1R83,PRKR|EIF2AK2|DYT33,EIF2AK1,LEUDEN,PKR,PPP1R83,PRKR
34	ENTPD1	0.01382586	0.01500025	0.01614514	0.01312689	0.014524535	0.09520838	0.08679268	0.08642198	0.08322678	0.087912455	-2.597575597	Downregulate	0.000000145	NM_001776	ENSG00000138185	953	ENTPD1	protein_coding	ectonucleoside triphosphate diphosphohydrolase 1	CD39,NTPDase-1CD39,ATPDaseCD39,SPG64|CD39|NTPDase-1, ATPDase, SPG64|ATPDase,CD39,NTPDase-1,SPG64|ENTPD1|ATPDase,CD39,NTPDase-1,SPG64
35	CTNNB1	3.99925977	3.80410043	4.02333268	4.01419654	3.960222355	2.07623642	2.14438205	2.18051684	2.20163674	2.150693013	0.880779825	NonDE	8.03E-08	NM_001904	ENSG00000168036	1499	CTNNB1	protein_coding	catenin beta 1	CTNNB,beta-cateninCTNNB,armadillo|CTNNB|beta-catenin, armadillo|CTNNB,EVR7,MRD19,NEDSDV,armadillo|CTNNB1|armadillo,CTNNB,EVR7,MRD19,NEDSDV
38	CX3CL1	0.26369925	0.30037884	0.26971666	0.29168136	0.281369028	1.10143584	1.06654985	1.09739686	1.06637163	1.082938545	-1.944415941	Downregulate	1.19E-09	NM_002996	ENSG00000006210	6376	CX3CL1	protein_coding	C-X3-C motif chemokine ligand 1	SCYD1,NTNSCYD1,C3XkineSCYD1,ABCD-3SCYD1,CXC3CSCYD1,CXC3|SCYD1|NTN, C3Xkine, ABCD-3, CXC3C, CXC3|ABCD-3,C3Xkine,CXC3,CXC3C,NTN,NTT,SCYD1,fractalkine,neurotactin|CX3CL1|ABCD-3,C3Xkine,CXC3,CXC3C,fractalkine,neurotactin,NTN,NTT,SCYD1
40	ELAVL1	1.14852541	1.25828486	1.15073431	1.21371429	1.192814718	0.43550714	0.44942111	0.43344811	0.42846463	0.436710248	1.449621674	Upregulate	0.0000655	NM_001419	ENSG00000066044	1994	ELAVL1	protein_coding	ELAV like RNA binding protein 1	HUR,HuRHUR,HuaHUR,MelG|HUR|HuR, Hua, MelG|ELAV1,HUR,Hua,MelG|ELAVL1|ELAV1,Hua,HUR,MelG
41	ERBB4	0.02106009	0.02039316	0.02229076	0.02207857	0.021455645	0.44667124	0.4369196	0.45801668	0.45357069	0.448794553	-4.386625987	Downregulate	0.00000227	NM_005235	ENSG00000178568	2066	ERBB4	protein_coding	erb-b2 receptor tyrosine kinase 4	ALS19,HER4|-|ALS19, HER4|ALS19,HER4,p180erbB4|ERBB4|ALS19,HER4,p180erbB4
43	EZH2	0.74903802	0.77035115	0.79098397	0.76890402	0.76981929	0.01298257	0.01452781	0.01389984	0.01431828	0.013932125	5.788032595	Upregulate	0.00000311	NM_004456	ENSG00000106462	2146	EZH2	protein_coding	enhancer of zeste 2 polycomb repressive complex 2 subunit	EZH1,ENX-1,KMT6,KMT6A|-|EZH1, ENX-1, KMT6, KMT6A|ENX-1,ENX1,EZH2b,KMT6,KMT6A,WVS,WVS2|EZH2|ENX-1,ENX1,EZH2b,KMT6,KMT6A,WVS,WVS2
44	F13A1	0.00152785	0.00194621	0.00177545	0.00265074	0.001975063	0.13737523	0.13998378	0.14637988	0.14692444	0.142665833	-6.174597743	Downregulate	0.00000872	NM_000129	ENSG00000124491	2162	F13A1	protein_coding	coagulation factor XIII A chain	F13A|F13A|-|F13A|F13A1|F13A
46	CHGB	0.02397391	0.02094638	0.02374576	0.02568058	0.023586658	2.26686617	2.35537172	2.37243142	2.36385249	2.33963045	-6.632165874	Downregulate	0.00000253	NM_001819	ENSG00000089199	1114	CHGB	protein_coding	chromogranin B	SCG1,SgI|SCG1|SgI|SCG1|CHGB|SCG1
47	EDN1	0.12704758	0.12607904	0.1352743	0.12171851	0.127529858	0.25931712	0.2422216	0.2760564	0.25585292	0.25836201	-1.018558896	Downregulate	0.00000229	NM_001955	ENSG00000078401	1906	EDN1	protein_coding	endothelin 1	ET1|-|ET1|ARCND3,ET1,HDLCQ7,PPET1,QME|EDN1|ARCND3,ET1,HDLCQ7,PPET1,QME
49	DGKG	0.01119068	0.01115723	0.00967401	0.01019833	0.010555063	0.85565792	0.79809743	0.80183876	0.85930361	0.82872443	-6.294885426	Downregulate	0.0000184	NM_001346	ENSG00000058866	1608	DGKG	protein_coding	diacylglycerol kinase gamma	DAGK3|DAGK3|-|DAGK3,DGK-GAMMA|DGKG|DAGK3,DGK-GAMMA
50	DLG4	0.15317372	0.15043613	0.15633056	0.15061434	0.152638688	2.32257298	2.34434602	2.43014511	2.40067328	2.374434348	-3.95939129	Downregulate	0.00000289	NM_001365	ENSG00000132535	1742	DLG4	protein_coding	discs large MAGUK scaffold protein 4	PSD-95,PSD95,SAP90,SAP-90|-|PSD-95, PSD95, SAP90, SAP-90|MRD62,PSD95,SAP-90,SAP90|DLG4|MRD62,PSD95,SAP-90,SAP90
51	ERN1	0.40803034	0.4118203	0.42409237	0.40471079	0.41216345	0.06505944	0.06149596	0.06460015	0.06614549	0.06432526	2.679759286	Upregulate	0.00000138	NM_001433	ENSG00000178607	2081	ERN1	protein_coding	endoplasmic reticulum to nucleus signaling 1	IRE1,IRE1P|-|IRE1, IRE1P|IRE1,IRE1P,IRE1a,hIRE1p|ERN1|hIRE1p,IRE1,IRE1a,IRE1P
52	CSNK2A2	0.33271908	0.33512355	0.33518562	0.32283871	0.33146674	0.16580793	0.15800239	0.16232666	0.15681207	0.160737263	1.044159698	Upregulate	5.76E-09	NM_001896	ENSG00000070770	1459	CSNK2A2	protein_coding	casein kinase 2 alpha 2	CSNK2A1,CK2alpha'|-|CSNK2A1, CK2alpha'|CK2A2,CK2alpha',CSNK2A1|CSNK2A2|CK2A2,CK2alpha',CSNK2A1
53	CSK	0.25723091	0.25941593	0.26244551	0.25524426	0.258584153	0.08963327	0.08660582	0.08076779	0.08428958	0.085324115	1.599608411	Upregulate	5.07E-10	NM_004383	ENSG00000103653	1445	CSK	protein_coding	C-terminal Src kinase	-|-|-|-|CSK|
54	EPHA7	0.00488172	0.00469378	0.00476914	0.00447702	0.004705415	0.05219453	0.05135883	0.05388913	0.0551698	0.053153073	-3.497759215	Downregulate	0.0000101	NM_004440	ENSG00000135333	2045	EPHA7	protein_coding	EPH receptor A7	Hek11|-|Hek11|EHK-3,EHK3,EK11,HEK11|EPHA7|EHK-3,EHK3,EK11,HEK11
55	EIF2AK3	0.15000803	0.18429414	0.21548012	0.21735225	0.191783635	0.11489983	0.10964066	0.1248076	0.13297339	0.12058037	0.669484558	NonDE	0.005274956	NM_004836	ENSG00000172071	9451	EIF2AK3	protein_coding	eukaryotic translation initiation factor 2 alpha kinase 3	PEK,PERK|-|PEK, PERK|PEK,PERK,WRS|EIF2AK3|PEK,PERK,WRS
56	EPHA3	0.0932759	0.09797053	0.09632559	0.09492256	0.095623645	0.02730792	0.0258763	0.02719364	0.02732639	0.026926063	1.828364125	Upregulate	9.08E-10	NM_005233	ENSG00000044524	2042	EPHA3	protein_coding	EPH receptor A3	ETK,HEKETK1,HEKTYRO4,HEKETK,HEK4ETK1,HEK4TYRO4,HEK4|ETK, ETK1, TYRO4|HEK, HEK4|EK4,ETK,ETK1,HEK,HEK4,TYRO4|EPHA3|EK4,ETK,ETK1,HEK,HEK4,TYRO4
57	FGR	0.00140403	0.00086056	0.00067897	0.00074648	0.00092251	0.03756769	0.00628096	0.04085238	0.0394612	0.031040558	-5.072446109	Downregulate	0.035783698	NM_005248	ENSG00000000938	2268	FGR	protein_coding	FGR proto-oncogene, Src family tyrosine kinase	SRC2,c-fgrSRC2,p55c-fgr|SRC2|c-fgr, p55c-fgr|SRC2,c-fgr,c-src2,p55-Fgr,p55c-fgr,p58-Fgr,p58c-fgr|FGR|c-fgr,c-src2,p55-Fgr,p55c-fgr,p58-Fgr,p58c-fgr,SRC2
58	DCC	0.00159898	0.0016905	0.00151116	0.00170842	0.001627265	0.10710187	0.09482333	0.09507981	0.09419288	0.097799473	-5.909305566	Downregulate	0.0000738	NM_005215	ENSG00000187323	1630	DCC	protein_coding	DCC netrin 1 receptor	IGDCC1,NTN1R1|-|IGDCC1, NTN1R1|CRC18,CRCR1,HGPPS2,IGDCC1,MRMV1,NTN1R1|DCC|CRC18,CRCR1,HGPPS2,IGDCC1,MRMV1,NTN1R1
59	CHRNA4	0.00353225	0.00540629	0.00463024	0.0038707	0.00435987	0.14571135	0.14426526	0.15270535	0.14729581	0.147494443	-5.080231667	Downregulate	0.0000018	NM_000744	ENSG00000101204	1137	CHRNA4	protein_coding	cholinergic receptor nicotinic alpha 4 subunit	EBN,BFNCEBN1,BFNC|EBN, EBN1|BFNC|BFNC,EBN,EBN1,NACHR,NACHRA4,NACRA4|CHRNA4|BFNC,EBN,EBN1,NACHR,NACHRA4,NACRA4
60	FGF9	0.01756984	0.01791755	0.01727606	0.0205889	0.018338088	0.32321584	0.32922177	0.32852714	0.3174424	0.324601788	-4.145755853	Downregulate	4.30E-11	NM_002010	ENSG00000102678	2254	FGF9	protein_coding	fibroblast growth factor 9	-|-|-|FGF-9,GAF,HBFG-9,HBGF-9,SYNS3|FGF9|FGF-9,GAF,HBFG-9,HBGF-9,SYNS3
62	FANCG	0.5950078	0.58845929	0.56828283	0.61150552	0.59081386	0.06917144	0.07750464	0.07826898	0.07294833	0.074473348	2.987907559	Upregulate	0.00000438	NM_004629	ENSG00000221829	2189	FANCG	protein_coding	FA complementation group G	XRCC9,FAG|XRCC9|FAG|FAG,XRCC9|FANCG|FAG,XRCC9
63	CHST1	0.0241685	0.02315461	0.02502813	0.02477492	0.02428154	0.87306186	0.88908498	0.90097524	0.83390795	0.874257508	-5.170126451	Downregulate	0.000011	NM_003654	ENSG00000175264	8534	CHST1	protein_coding	carbohydrate sulfotransferase 1	C6ST,KSGal6ST|-|C6ST, KSGal6ST|C6ST,GST-1,KS6ST,KSGal6ST,KSST|CHST1|C6ST,GST-1,KS6ST,KSGal6ST,KSST
64	DUSP3	0.52120843	0.56046918	0.59477606	0.54475392	0.555301898	0.65991258	0.740799	0.70905503	0.72564255	0.70885229	-0.352212706	NonDE	0.000596423	NM_004090	ENSG00000108861	1845	DUSP3	protein_coding	dual specificity phosphatase 3	VHR|VHR|-|VHR|DUSP3|VHR
65	FKBP5	0.44164149	0.46120445	0.47761405	0.45614784	0.459151958	0.37097126	0.39433679	0.37450033	0.36627769	0.376521518	0.286239382	NonDE	0.000139428	NM_004117	ENSG00000096060	2289	FKBP5	protein_coding	FKBP prolyl isomerase 5	FKBP51,FKBP54,PPIase,P54,Ptg-10|-|FKBP51, FKBP54, PPIase, P54, Ptg-10|AIG6,FKBP51,FKBP54,P54,PPIase,Ptg-10|FKBP5|AIG6,FKBP51,FKBP54,P54,PPIase,Ptg-10
66	COX15	0.35156866	0.35529788	0.35983862	0.36885618	0.358890335	0.20090643	0.2061469	0.22314852	0.2170679	0.211817438	0.76072171	NonDE	0.000000399	NM_078470	ENSG00000014919	1355	COX15	protein_coding	cytochrome c oxidase assembly homolog COX15	CEMCOX2|-|CEMCOX2|CEMCOX2,MC4DN6|COX15|CEMCOX2,MC4DN6
67	CSPG3	0.00162365	0.00188084	0.00190342	0.00141556	0.001705868	0.23536581	0.24373927	0.24219672	0.24567646	0.241744565	-7.146834052	Downregulate	0.0000017	NM_004386	ENSG00000130287	1463	NCAN	protein_coding	neurocan	CSPG3|CSPG3|-|CSPG3|NCAN|CSPG3
68	DFFA	0.84750423	0.84849554	0.84971647	0.79789699	0.835903308	0.29886899	0.28871355	0.29691271	0.31084342	0.298834668	1.483988546	Upregulate	1.67E-08	NM_213566	ENSG00000160049	1676	DFFA	protein_coding	DNA fragmentation factor subunit alpha	DFF-45,DFF45,ICAD,DFF1|-|DFF-45, DFF45, ICAD, DFF1|DFF-45,DFF1,ICAD|DFFA|DFF-45,DFF1,ICAD
69	CRLF1	0.32911264	0.32928074	0.36189489	0.33977492	0.340015798	0.07478983	0.0792186	0.08297071	0.083797	0.080194035	2.084034942	Upregulate	5.57E-08	NM_004750	ENSG00000006016	9244	CRLF1	protein_coding	cytokine receptor like factor 1	CLF-1,CLF,CISS,CISS1|-|CLF-1, CLF, CISS, CISS1|CISS,CISS1,CLF,CLF-1,NR6,zcytor5|CRLF1|CISS,CISS1,CLF,CLF-1,NR6,zcytor5
70	EGFR	0.12770144	0.12910917	0.12842583	0.14413546	0.132342975	0.06791943	0.06820916	0.07003937	0.06918891	0.068839218	0.942979013	NonDE	0.000449326	NM_005228	ENSG00000146648	1956	EGFR	protein_coding	epidermal growth factor receptor	ERBB,ERBB1ERBB,ERRP|ERBB|ERBB1, ERRP|ERBB,ERBB1,ERRP,HER1,NISBD2,PIG61,mENA|EGFR|ERBB,ERBB1,ERRP,HER1,mENA,NISBD2,PIG61
72	DAP	0.53070792	0.53269554	0.58657847	0.49887831	0.53721506	0.07061365	0.06465803	0.06979677	0.05813995	0.0658021	3.029294217	Upregulate	0.0000923	NM_004394	ENSG00000112977	1611	DAP	protein_coding	death associated protein	DAP1|-|DAP1|DAP1|DAP|
73	CSF1R	0.00232105	0.00167293	0.00219017	0.00276134	0.002236373	0.17444616	0.17292322	0.18385964	0.19127269	0.180625428	-6.335696682	Downregulate	0.0000294	NM_005211	ENSG00000182578	1436	CSF1R	protein_coding	colony stimulating factor 1 receptor	FMS,C-FMSFMS,CSFRFMS,CD115|FMS|C-FMS, CSFR, CD115|BANDDOS,C-FMS,CD115,CSF-1R,CSFR,FIM2,FMS,HDLS,HDLS1,M-CSF-R|CSF1R|BANDDOS,C-FMS,CD115,CSF-1R,CSFR,FIM2,FMS,HDLS,HDLS1,M-CSF-R
74	CP	1.04462698	1.13018768	1.03646832	1.05008758	1.06534264	0.26475504	0.2789513	0.26725641	0.27641798	0.271845183	1.970460344	Upregulate	0.0000317	NM_000096	ENSG00000047457	1356	CP	protein_coding	ceruloplasmin	AB073614|-|AB073614|AB073614,CP-2|CP|AB073614,CP-2
76	DYSF	0.03523936	0.03843591	0.03696598	0.03765562	0.037074218	0.04066985	0.0420638	0.04074444	0.04323997	0.041679515	-0.168922247	NonDE	0.00237324	NM_003494	ENSG00000135636	8291	DYSF	protein_coding	dysferlin	LGMD2B,FER1L1|LGMD2B|FER1L1|FER1L1,LGMD2B,LGMDR2,MMD1|DYSF|FER1L1,LGMD2B,LGMDR2,MMD1
78	FER	0.39936409	0.37338806	0.3937895	0.38551242	0.388013518	0.5415497	0.5378174	0.53444619	0.50758122	0.530348628	-0.450834121	NonDE	0.00000581	NM_005246	ENSG00000151422	2241	FER	protein_coding	FER tyrosine kinase	TYK3,PPP1R74|-|TYK3, PPP1R74|PPP1R74,TYK3,p94-Fer|FER|p94-Fer,PPP1R74,TYK3
79	FGF2	0.28124395	0.29669688	0.29949099	0.28507006	0.29062547	0.48599317	0.4751559	0.50305807	0.46963622	0.48346084	-0.734237893	NonDE	0.00000051	NM_002006	ENSG00000138685	2247	FGF2	protein_coding	fibroblast growth factor 2	FGFB|FGFB|-|BFGF,FGF-2,FGFB,HBGF-2|FGF2|BFGF,FGF-2,FGFB,HBGF-2
80	DNAJC7	0.18685305	0.19552364	0.20792523	0.20784702	0.199537235	0.17780026	0.19366948	0.18874021	0.19183738	0.188011833	0.085834528	NonDE	0.114451352	NM_003315	ENSG00000168259	7266	DNAJC7	protein_coding	DnaJ heat shock protein family (Hsp40) member C7	TTC2,TPR2|TTC2|TPR2|DJ11,DJC7,TPR2,TTC2|DNAJC7|DJ11,DJC7,TPR2,TTC2
81	CYP2J2	0.02309653	0.02424148	0.02119566	0.02096841	0.02237552	0.23123836	0.24186966	0.23754593	0.2467535	0.239351863	-3.419139917	Downregulate	0.00000282	NM_000775	ENSG00000134716	1573	CYP2J2	protein_coding	cytochrome P450 family 2 subfamily J member 2	-|-|-|CPJ2,CYPIIJ2|CYP2J2|CPJ2,CYPIIJ2
