ensembl_id	Sample	Sample_pair	Gene_name	test_1	test_2	test_3	test_mean	D6_1	D6_2	D6_3	D6_mean	log2FC	DEG	p_value
ENSG00000115616	F7	F7/D6	SLC9A2	0.002049	0.00211	0.002234	0.002131	0.001321	0.001203	0.001193	0.001239	0.782711259	NonDE	0.0002
ENSG00000115828	F7	F7/D6	QPCT	0.000559	0.000682	0.000703	0.000648	0.009196	0.009123	0.0086	0.008973	-3.791689971	Downregulate	0
ENSG00000118508	F7	F7/D6	RAB32	0.009683	0.009481	0.0095	0.009554667	0.01559	0.014494	0.015004	0.015029333	-0.65344164	NonDE	0.0001
ENSG00000121594	F7	F7/D6	CD80	1.393391	1.228076	1.187477	1.269648	1.17639	1.255939	1.204777	1.212368667	0.066599885	NonDE	0.4416
ENSG00000124557	F7	F7/D6	BTN1A1	0.000266	0.000275	0.00026	0.000267	0.001295	0.00155	0.001505	0.00145	-2.413295161	Downregulate	0.0088
ENSG00000126010	F7	F7/D6	GRPR	0.003912	0.003858	0.004411	0.004060333	0.010732	0.009789	0.009372	0.009964333	-1.295207273	Downregulate	0.0002
ENSG00000127329	F7	F7/D6	PTPRB	0.001065	0.001156	0.001022	0.001081	0.002102	0.001827	0.002088	0.002005667	-0.89179005	NonDE	0.0007
ENSG00000132002	F7	F7/D6	DNAJB1	0.380113	0.3835	0.400785	0.388132667	0.510919	0.440547	0.393672	0.448379333	-0.208169528	NonDE	0.1572
ENSG00000134061	F7	F7/D6	CD180	0.056804	0.047509	0.048534	0.050949	0.119352	0.132256	0.125791	0.125799667	-1.304008689	Downregulate	0.0001
ENSG00000134215	F7	F7/D6	VAV3	0.008972	0.008487	0.008606	0.008688333	0.004346	0.00479	0.003521	0.004219	1.042141082	Upregulate	0.0004
ENSG00000136244	F7	F7/D6	IL6	0.036575	0.038009	0.033805	0.036129667	0.011955	0.012155	0.010767	0.011625667	1.63591756	Upregulate	0
ENSG00000139687	F7	F7/D6	RB1	0.242737	0.258308	0.245427	0.248824	0.314239	0.381944	0.356515	0.350899333	-0.49592963	NonDE	0.0074
ENSG00000142871	F7	F7/D6	CCN1	0.003581	0.003435	0.003517	0.003511	0.003076	0.003371	0.003454	0.003300333	0.089303491	NonDE	0.1595
ENSG00000163040	F7	F7/D6	CCDC74A	0.178377	0.150371	0.149198	0.159315333	0.024874	0.021159	0.021417	0.022483333	2.82495557	Upregulate	0.0043
ENSG00000163814	F7	F7/D6	CDCP1	0.001964	0.001778	0.002017	0.001919667	0.002604	0.002514	0.002333	0.002483667	-0.3716627	NonDE	0.0064
ENSG00000164458	F7	F7/D6	TBXT	0.002054	0.001999	0.002221	0.002091333	0.019695	0.020839	0.020397	0.020310333	-3.279740863	Downregulate	0
ENSG00000165029	F7	F7/D6	ABCA1	0.003537	0.003052	0.003198	0.003262333	0.001592	0.001866	0.001793	0.001750333	0.898251682	NonDE	0.0008
ENSG00000166211	F7	F7/D6	SPIC	0.050175	0.048965	0.038883	0.046007667	0.013066	0.014425	0.012964	0.013485	1.770530209	Upregulate	0.0109
ENSG00000168938	F7	F7/D6	PPIC	0.001397	0.001526	0.001678	0.001533667	0.003992	0.003436	0.003517	0.003648333	-1.250521427	Downregulate	0.0004
ENSG00000169860	F7	F7/D6	P2RY1	0.005555	0.004911	0.004972	0.005146	0.002847	0.002961	0.002989	0.002932333	0.811360161	NonDE	0.0005
ENSG00000170627	F7	F7/D6	GTSF1	0.002058	0.001562	0.001747	0.001789	0.015528	0.012599	0.014441	0.014189333	-2.98739894	Downregulate	0.0001
ENSG00000173110	F7	F7/D6	HSPA6	0.157268	0.190584	0.161746	0.169866	0.274137	0.302743	0.256204	0.277694667	-0.709101861	NonDE	0.0032
ENSG00000173208	F7	F7/D6	ABCD2	0.025426	0.02381	0.02125	0.023495333	0.023951	0.030595	0.025355	0.026633667	-0.180871544	NonDE	0.2542
ENSG00000176749	F7	F7/D6	CDK5R1	0.106744	0.080439	0.088097	0.09176	0.111909	0.129193	0.112018	0.117706667	-0.359258884	NonDE	0.0555
ENSG00000177606	F7	F7/D6	JUN	0.296184	0.407725	0.352746	0.352218333	0.474825	0.45523	0.49819	0.476081667	-0.435819549	NonDE	0.0686
ENSG00000179241	F7	F7/D6	LDLRAD3	0.00124	0.001007	0.001121	0.001122667	0.001998	0.002097	0.00229	0.002128333	-0.923050679	NonDE	0.0008
ENSG00000180613	F7	F7/D6	GSX2	0.000084	0.000126	0.00012	0.00011	0.000392	0.000488	0.00045	0.000443333	-2.009116871	Downregulate	0.0004
ENSG00000186340	F7	F7/D6	THBS2	0.001553	0.002049	0.001771	0.001791	0.000601	0.000558	0.000735	0.000631333	1.503923313	Upregulate	0.0016
ENSG00000188641	F7	F7/D6	DPYD	0.38145	0.30731	0.238104	0.308954667	0.221882	0.272753	0.349186	0.281273667	0.135421699	NonDE	0.6442
ENSG00000204434	F7	F7/D6	POTEKP	0.043198	0.038808	0.043258	0.041754667	0.003011	0.002056	0.002418	0.002495	4.065014322	Upregulate	0
ENSG00000211599	F7	F7/D6	IGKV5-2	0.000379	0.000491	0.000405	0.000425	0.006071	0.006361	0.004791	0.005741	-3.756476258	Downregulate	0.0079
ENSG00000211637	F7	F7/D6	IGLV4-69	0.004616	0.004284	0.004432	0.004444	0.224181	0.243861	0.2102	0.226080667	-5.668834169	Downregulate	0.0019
ENSG00000211638	F7	F7/D6	IGLV8-61	0.002852	0.002063	0.003228	0.002714333	0.0329	0.023723	0.025992	0.027538333	-3.342720518	Downregulate	0.0112
ENSG00000211640	F7	F7/D6	IGLV6-57	0.005283	0.004893	0.00568	0.005285333	3.156954	3.307024	3.309087	3.257688333	-9.267609308	Downregulate	0.0002
ENSG00000211645	F7	F7/D6	IGLV1-50	0.022764	0.028295	0.024831	0.025296667	0.860711	0.861785	0.901313	0.874603	-5.111633634	Downregulate	0.0002
ENSG00000211648	F7	F7/D6	IGLV1-47	0.064848	0.050692	0.042005	0.052515	1.221878	1.09013	0.987738	1.099915333	-4.388523189	Downregulate	0.0039
ENSG00000211651	F7	F7/D6	IGLV1-44	0.021396	0.01962	0.016104	0.01904	1.565692	1.219847	1.451053	1.412197333	-6.212770636	Downregulate	0.0053
ENSG00000211653	F7	F7/D6	IGLV1-40	0.004693	0.005072	0.004827	0.004864	0.644745	0.792619	0.652704	0.696689333	-7.162237839	Downregulate	0.0048
ENSG00000211655	F7	F7/D6	IGLV1-36	0.004303	0.004395	0.004045	0.004247667	0.119883	0.120008	0.115239	0.118376667	-4.800503106	Downregulate	0.0002
ENSG00000211660	F7	F7/D6	IGLV2-23	17.252896	16.774137	17.388561	17.13853133	10.428068	10.183771	10.951071	10.52097	0.7039758	NonDE	0
ENSG00000211663	F7	F7/D6	IGLV3-19	0.002652	0.003076	0.002481	0.002736333	0.345223	0.332241	0.324165	0.333876333	-6.930876475	Downregulate	0.0003
ENSG00000211666	F7	F7/D6	IGLV2-14	10.906881	9.626869	14.129776	11.55450867	10.753244	10.702679	10.176715	10.54421267	0.132004572	NonDE	0.5304
ENSG00000211668	F7	F7/D6	IGLV2-11	1.710479	1.459728	1.798258	1.656155	0.011904	0.014357	0.014427	0.013562667	6.932088196	Upregulate	0.0038
ENSG00000211670	F7	F7/D6	IGLV3-9	0.000234	0.000229	0.000275	0.000246	0.006585	0.007556	0.006289	0.00681	-4.790392709	Downregulate	0.0033
ENSG00000211893	F7	F7/D6	IGHG2	0.735281	0.64989	0.843387	0.742852667	7.322823	6.683482	8.939536	7.648613667	-3.364050886	Downregulate	0.009
ENSG00000211895	F7	F7/D6	IGHA1	0.145437	0.158666	0.168692	0.157598333	0.119477	0.117987	0.107224	0.114896	0.455927099	NonDE	0.0053
ENSG00000211934	F7	F7/D6	IGHV1-2	0.256939	0.219775	0.222396	0.233036667	0.319075	0.305441	0.310802	0.311772667	-0.419937007	NonDE	0.0034
ENSG00000211935	F7	F7/D6	IGHV1-3	0.015245	0.014574	0.018116	0.015978333	0.111736	0.113981	0.172213	0.132643333	-3.053373354	Downregulate	0.0273
ENSG00000211943	F7	F7/D6	IGHV3-15	0.037068	0.029143	0.030421	0.032210667	0.089341	0.077727	0.074118	0.080395333	-1.319583809	Downregulate	0.0008
ENSG00000211945	F7	F7/D6	IGHV1-18	0.001834	0.002392	0.002663	0.002296333	2.287545	2.254957	2.021884	2.188128667	-10.01613193	Downregulate	0.0015
ENSG00000211947	F7	F7/D6	IGHV3-21	0.048003	0.047467	0.046836	0.047435333	0.01386	0.016435	0.015431	0.015242	1.637898661	Upregulate	0
ENSG00000211950	F7	F7/D6	IGHV1-24	0.146003	0.105885	0.139049	0.130312333	0.001289	0.001464	0.001207	0.00132	6.625106327	Upregulate	0.0091
ENSG00000211959	F7	F7/D6	IGHV4-39	0.074386	0.058204	0.072011	0.068200333	2.412452	2.571482	2.673816	2.552583333	-5.226035055	Downregulate	0.0009
ENSG00000211970	F7	F7/D6	IGHV4-61	0.302184	0.263067	0.220997	0.262082667	4.828918	4.734132	4.682244	4.748431333	-4.182067906	Downregulate	0
ENSG00000211973	F7	F7/D6	IGHV1-69	0.035922	0.034516	0.033	0.034479333	1.63902	1.639361	1.529154	1.602511667	-5.538469084	Downregulate	0.0005
ENSG00000224041	F7	F7/D6	IGKV3D-15	1.106139	1.321369	1.49333	1.306946	1.231998	1.097864	0.95482	1.094894	0.25540856	NonDE	0.1983
ENSG00000224373	F7	F7/D6	IGHV4-59	0.136992	0.140873	0.156493	0.144786	0.532025	0.479255	0.559328	0.523536	-1.854367693	Downregulate	0.0001
ENSG00000224559	F7	F7/D6	LINC01087	0.017621	0.015249	0.014869	0.015913	0.004309	0.004225	0.004256	0.004263333	1.900119744	Upregulate	0.0054
ENSG00000224650	F7	F7/D6	IGHV3-74	0.114313	0.121613	0.125049	0.120325	0.127523	0.120385	0.122024	0.123310667	-0.035362075	NonDE	0.4793
